item_name,calories,fat,carbohydrates,protein,vitamin A,vitamin C,calcium,iron
applie_pie,296,14,43,2.4,3.1,6.7,1.1,3.1
baby_back_ribs,126,11,0,7.3,0,0,0.5,2.8
baklava,306,20,29,5.5,5,0,3,7
beef_carpaccio,181,13,2,13,6,3,8,6
beef_tartare,552,44,5.7,33,7,7,10,19
beet_salad,317,27,13,5.9,5,5,8,8
beignets,262,8.5,40,6,1,0,4,12
bibimbap,972,22,155,36,304,57,23,46
bread_pudding,377,7.3,72,7.7,8,3,16,7
breakfast_burrito,657,28,72,29,30,55,35,26
bruschetta,72,4.9,6.2,1.3,5,5,1,3
caesar_salad,481,40,23,10,381,15,25,18
cannoli,233,15,18,6,4,7,8,3
caprese_salad,220,17,4.7,13,24,20,30,3
carrot_cake,577,30,73,6.6,105,3,10,9
ceviche,165,2.7,5.3,31,7,25,3,6
cheese_plate,662,50,8.3,45,29,0,89,3.7
cheesecake,500,31,47,7,10,0,8,8
chicken_curry,243,11,7.5,28,11,8.1,3,11
chicken_quesadilla,267,13,23,15,9,36,12,10
chicken_wings,88,6.5,2.6,4.5,2.3,1.2,0.4,1.7
chocolate_cake,424,22,58,3.8,0,0.2,2.5,18
chocolate_mousse,455,32,32,8.4,21,0.3,15,6.2
churros,103,7.7,8.4,0.5,0,0,0.1,0.4
clam_chowder,161,6.49,16.35,9.32,4,6,18,8
club_sandwich,601,25,40,51,61,12,14,25
crab_cakes,477,30,20,31,8,60,20,15
creme_brulee,684,60,30,8.3,51,1,14,5
croque_madame,721,38,57,37,23,4,48,27
cup_cakes,292,15,40,2.6,0,0.01,1.7,13
deviled_eggs,60,6,0.5,3.3,3,0,2,3
donuts,260,14,30,3,2,0,0,6
dumplings,120,2.8,20,3.2,3,0,13,3
edamame,38,2.09,3.07,3.98,0,6,3,3
eggs_benedict,733,55,30,30,41,12,21,19
escargots,77,1.2,1.7,14,1.7,0,0.07,17
falafel,57,3,5.4,2.3,0,0.5,0.7,3.2
filet_mignon,227,15,0,22,0,0,1.2,8
fish_and_chips,688,26,71,43,4.3,47,14,10
foie_gras,,,,,,,,
french_fries,312,15,41,3.4,0,7,1,4
french_onion_soup,376,19,31,17,8,6,33,13
french_toast,219,11,23,7.3,8,0,7,9
fried_calamari,356,15,37,18,2.9,9.8,2.8,15
fried_rice,238,4.1,45,5.5,7.6,8.7,1.3,5
frozen_yogurt,221,6.3,38,5.2,6.1,2,13,4.4
garlic_bread,207,9.8,25,4.9,0.5,0.2,1.2,10
gnocchi,254,1.5,52,7.7,1.1,14,1.3,15
greek_salad,179,15,7.4,5.1,14,35,13,5.2
grilled_cheese_sandwich,366,23,28,12,18,0,50,12
grilled_salmon,468,28,0,50,10,14,2.6,4.3
guacamole,157,14.31,8.51,1.96,3,17,1,3
gyoza,310,2,60,13,6,45,4,25
hamburger,197,12,0,21,0.2,0,1.3,13
hot_and_sour_soup,91,2.8,10,6,1.6,0,3.4,8.3
hot_dog,155,14,1.3,5.6,0,0,0.04,3.3
huevos_rancheros,644,43,39,29,23,52,27,25
hummus,27,1.29,3.02,0.73,0,2,1,1
ice_cream,267,14.26,32.45,4.68,10,1,17,1
lasagna,602,32,35,44,34,25,53,26
lobster_bisque,264,16,9.1,16,28,4,11,5
lobster_roll_sandwich,507,22,33,42,5.9,12,11,21
macaroni_and_cheese,461,23,42,20,17,0.1,31,10
macarons,43,1.9,6,0.8,0,0,1,2
miso_soup,59,3,3.5,5.8,1,2,14,7
mussels,9,0.22,0.37,1.19,0,1,0,2
nachos,346,18.95,36.33,9.1,11,2,27,7
omelette,323,25,1.4,21,18,0,7.3,17
onion_rings,580,29,74,8,0,0,4,8
oysters,33,1.18,1.88,3.38,1,3,2,18
pad_thai,357,13.39,47.23,12.16,35,14,6,14
paella,379,13.06,40.03,22.85,6,20,5,37
pancakes,91,3.9,11,2.6,1.6,0.2,6.7,4
panna_cotta,779,69,38,5.6,55,2,15,1
peking_duck,663,41,42,30,19,58,7,28
pho,638,14,78,47,12,35,11,37
pizza,266,10,33,11,7,2,18,13
pork_chop,118,6.85,0,13.12,0,0,1,2
poutine,294,19,22,9.4,8,3,25,2
prime_rib,340,29,0,19,0,0,0.7,10
pulled_pork_sandwich,535,7.5,81,34,9,5,8,20
ramen,656,22,62,49,40,11,11,28
ravioli,54,2,5.9,5.8,1.2,0,2.8,1.6
red_velvet_cake,368,23,36,4.2,17,0,6,8
risotto,413,13,54,14,20,6,13,8.5
samosa,262,17,24,3.5,25,17,2,4
sashimi,35,1.2,0.3,5.3,1,1,1,2
scallops,35,1.75,1.68,2.9,0,1,1,1
seaweed_salad,106,11,8,2.9,80,7,7,7
shrimp_and_grits,358,20,21,23,18,8,28,7
spaghetti_bolognese,667,22,84,35,89,76,20,37
spaghetti_carbonara,336,11,44,15,4,1,13,12
spring_rolls,148,6.2,19,3.7,12,11,1.5,6.9
steak,207,12,0,23,0,0,1.3,8.2
strawberry_shortcake,485,29,52,6.7,17,149,21,7
sushi,37,0.11,7.77,1.12,4,1,0,0.35
tacos,210,9.9,21,9.4,3.2,0.2,9.7,9.5
takoyaki,79,5.8,4.2,2.4,0,0,0,0
tiramisu,392,30,24,5.7,54,0,8,6
tuna_tartare,393,27,7.4,31,5,25,3,10
waffles,218,11,25,5.9,3.4,0.5,15,9.6
